name,description,price,imageUrl,category,stock
Anker USB-C Ladekabel 2m,Slitesterk flettekabel med rask lading. Kompatibel med iPhone 15 og Android. 2 meter lang.,149,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=400,Elektronikk,100
Trådløs Lader 15W,Rask trådløs lading for iPhone og Android. Støtter MagSafe. Slank og enkel design.,299,https://images.unsplash.com/photo-1586816879360-004f5b0c51e3?w=400,Elektronikk,80
Bluetooth Ørepropper,God lydkvalitet med aktiv støydemping. Opptil 24 timers batteritid med ladeetui.,599,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=400,Elektronikk,60
Powerbank 20000mAh,Kompakt powerbank med USB-C og USB-A utgang. Lader telefonen flere ganger. Ideell for reise.,449,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=400,Elektronikk,75
Skjermbeskytter iPhone 15,Herdet glass 0.3mm tykkelse. 9H hardhet. Enkel å montere med inkludert verktøy.,99,https://images.unsplash.com/photo-1512941937669-90a1b58e7e9c?w=400,Elektronikk,150
Yoga Matte 6mm,Sklisikker treningmatte i miljøvennlig TPE-materiale. 183x61cm. Inkl. bærestropp.,299,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=400,Sport,90
Vannflaske 1L med sugerør,BPA-fri plastflaske med tidsmarkering. Holder drikken kald i 24 timer. Lekkasjefri.,199,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Sport,120
Hoppe tau med teller,Justerbart hopperep med digital teller. Egnet for alle aldre. Treffer kondisjon og koordinasjon.,149,https://images.unsplash.com/photo-1517838277536-f5f99be501cd?w=400,Sport,100
Treningshansker,Pusteaktive treningshansker med håndleddstøtte. Unisex. Tilgjengelig i S-XL.,249,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=400,Sport,80
Drikkebelte for løping,Lett løpebelte med 2x250ml flasker og liten lomme til nøkler og mobil.,349,https://images.unsplash.com/photo-1476480862126-209bfaa8edc8?w=400,Sport,60
Ansiktsmaske Hyaluronsyre,Intensiv fuktighetsmask med hyaluronsyre og aloe vera. 10 stk. Koreansk skjønnhetspleie.,199,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400,Skjønnhet,100
Vitamin C Serum 30ml,Oppklarnende serum med 15% vitamin C. Jevner ut hudtonen og gir glød. Alle hudtyper.,349,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=400,Skjønnhet,80
Elektrisk Ansiktsbørste,Silikonbørste med 3 hastigheter for dyp rensing. Vanntett IPX7. USB-lading.,399,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=400,Skjønnhet,60
Lip Balm Set 6-pakning,Nærende leppebalsam med naturlige ingredienser. 6 ulike smaker. SPF 15.,129,https://images.unsplash.com/photo-1586495777744-4e6232bf4e2b?w=400,Skjønnhet,150
Nagellakk Sett 12 farger,Langtidsholdbar neglelakk i 12 trendy farger. Rask tørketid. Veganvennlig.,199,https://images.unsplash.com/photo-1604654894610-df63bc536371?w=400,Skjønnhet,90
Bambus Kjøkkenutstyr Sett,5-delt kjøkkensett i bambus. Inkl. sleiv stor og liten sil og to spatler. Miljøvennlig.,249,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400,Hjemmet,70
LED Nattlampe med sensor,Bevegelsessensor nattlampe med USB-lading. Varm hvit LED. Ideell for gang og soverom.,149,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Hjemmet,100
Vakuumposer for oppbevaring,10-pak vakuumposer for klær og sengetøy. Sparer opptil 80% plass. Inkl. pumpe.,299,https://images.unsplash.com/photo-1558618047-3d6810e96535?w=400,Hjemmet,80
Kaffefilter gjenbrukbar,Permanent kaffefilter i rustfritt stål. Passer de fleste kaffetraktere. Miljøvennlig.,99,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,Hjemmet,120
Plante spray flaske,Elegant sprayflaske i glass for planter. 500ml. Inkl. justerbar dyse.,129,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Hjemmet,90
Sokker pakke 5-par,Premium bomullssokker i 5 farger. Anti-glidende sål. Passer str 36-46.,199,https://images.unsplash.com/photo-1586350977771-b3b0abd50c82?w=400,Klær,100
Solbriller UV400,Klassisk polariserte solbriller med UV400-beskyttelse. Lett aluminiumsramme. Unisex.,299,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=400,Klær,80
Caps med broderi,Justerbar caps i bomull med minimalistisk brodert logo. One size. 6 farger.,199,https://images.unsplash.com/photo-1534215754734-18e55d13e346?w=400,Klær,90
Tøypose handlenett,Sammenleggbar handlepose i bomull. Sterk og miljøvennlig. 3-pak i ulike farger.,129,https://images.unsplash.com/photo-1591085686350-798c0f9faa7f?w=400,Klær,150
Buff hals og hodeplagg,Multifunksjonelt hodeplagg i fleece. Brukes som buff hatt eller ansiktsmaske. Unisex.,149,https://images.unsplash.com/photo-1520903920243-00d872a2d1c9?w=400,Klær,100
