name,description,price,imageUrl,category,stock
Apple AirPods Pro 2,Verdens beste støydempende ørepropper med Adaptive Audio. Gjennomsiktig modus for naturlig lyd. Opptil 30 timers batteritid med etui. MagSafe-kompatibelt ladeetui inkludert.,2499,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=800,Elektronikk,50
Samsung 65" QLED 4K TV,Spektakulær billedkvalitet med Quantum Dot-teknologi. HDR2000 og 144Hz for gaming. Smart TV med Netflix Disney+ og alle strømmetjenester. Veggmontering inkludert.,12999,https://images.unsplash.com/photo-1593784991095-a205069470b6?w=800,Elektronikk,15
GoPro Hero 12 Black,Filmer 5.3K video med HyperSmooth 6.0 stabilisering. Vanntett til 10m uten deksel. Perfekt for sport reise og eventyr. Inkl. 32GB minnekort.,4999,https://images.unsplash.com/photo-1502920514313-52581002a659?w=800,Elektronikk,30
Dyson Airwrap Complete,Den ultimate hårstyler som styler og tørker samtidig. Bruker Coandă-effekten for skånsom styling uten ekstrem varme. Inkl. 6 ulike vedlegg for alle hårtyper.,5999,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?w=800,Skjønnhet,25
iPad Pro 11" M4,Utrolig tynn og kraftig med M4-chip. Liquid Retina XDR-skjerm med ProMotion 120Hz. Perfekt for tegning design og underholdning. Wi-Fi 6E og 5G støtte.,9999,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=800,Elektronikk,20
Callaway Rogue ST Driver,Tour-godkjent driver med AI-designet Jailbreak-teknologi. Maksimal ballfart og avstand. Justerbar loft 9-12 grader. Inkl. headcover.,3999,https://images.unsplash.com/photo-1587174486073-ae5e5cff23aa?w=800,Golf,40
Titleist Pro V1 Golfballer 12-pak,Verdens mest solgte golfball brukt av proffene på Tour. Ekstremt konsistent flyt og myk følelse rundt greenen. 12-pak med scorekort.,599,https://images.unsplash.com/photo-1535131749006-b7f58c99034b?w=800,Golf,100
Ping G430 Jernset 7-pak,Komplett jernset 4-PW med perimeter-vekting for maksimal tilgivelse. Custom shaft-alternativer. Brukt av mange Tour-spillere. Inkl. bag.,12999,https://images.unsplash.com/photo-1550547660-d9450f859349?w=800,Golf,10
Titleist Cart Bag,Premium golfbag i vannavvisende materiale med 14 dividere. 10 lommer inkl. kjølt drikkeholder. Kompatibel med alle golfvogner.,2499,https://images.unsplash.com/photo-1587174486073-ae5e5cff23aa?w=800,Golf,30
Golf Rangefinder Bushnell Tour V6,Laser-rangefinder med Slope-kompensasjon og PinSeeker-teknologi. Måler nøyaktig til flagget selv i bakker. Godkjent for turneringsspill.,2999,https://images.unsplash.com/photo-1535131749006-b7f58c99034b?w=800,Golf,25
Tesla Model 3/Y Bagasjeromsmatte,Skreddersydd 3D-formet bagasjeromsmatte i premium TPE-gummi. Tett tilpasning uten glidning. Lett å rengjøre. Beskytter originalt teppe mot smuss og vann.,799,https://images.unsplash.com/photo-1617886903355-9354bb57751f?w=800,Bil,60
Tesla Takmontert Teltpakke,Elektrisk teltløsning for Tesla Model Y og X. Monteres på takstativ på 30 minutter. Plass til 2 voksne. Inkl. stige og bærepose. Kompatibel med alle takstativer.,8999,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=800,Bil,15
SUV Dachzelt Explorer Pro,Robust taktelt for alle SUV-er og pickup. Åpner på 60 sekunder. 360-graders utsikt. Inkl. cortex polybomuull kanvas og aluminiumsgulv. 3-persons kapasitet.,12999,https://images.unsplash.com/photo-1537225228614-56cc3556d7ed?w=800,Bil,10
Tesla Wireless Charging Pad,Original trådløs ladepute designet for Tesla Model 3 og Y. Lader to telefoner samtidig. Ren og diskret integrering i midtkonsollen. Plug-and-play.,1299,https://images.unsplash.com/photo-1556656793-08538906a9f8?w=800,Bil,45
Bil Støvsuger 12V Cordless,Kraftig trådløs bilstøvsuger med HEPA-filter. 26000Pa sugestyrke. 40 minutters batteritid. Perfekt for Tesla og andre elbiler. Inkl. 8 vedlegg.,899,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,Bil,70
Lululemon Align Leggings,Ikoniske yogabukser i Nulu-stoff som føles som ingenting. 4-veis stretch og svetteavledende. Favorittbuksen til millioner av kvinner. Str XS-XL.,899,https://images.unsplash.com/photo-1506629082955-511b1aa562c8?w=800,Sport,80
Nike Dri-FIT Treningsjakke,Teknisk løpejakke med Dri-FIT-teknologi som holder deg tørr. Reflekterende detaljer for synlighet. Trekkbar hette og to lommer med glidelås.,799,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,Klær,60
Under Armour Compression Sett,2-delt kompresjonssett med topp og tights. HeatGear-teknologi holder deg kjølig. Muskelstøtte og økt blodgjennomstrømning. Unisex str S-XXL.,699,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=800,Sport,75
Silk Thai Skjerf Håndlaget,Autentisk håndvevd silkeskjerf fra Chiang Mai Thailand. Naturlig silke i livlige farger og mønstre. Hvert skjerf er unikt. Perfekt gave eller accessoire.,599,https://images.unsplash.com/photo-1558769132-cb1aea458c5e?w=800,Thailand,50
Thai Elefant Dekorasjon Tre,Håndskåret teak-elefant fra Chiang Mai. Symboliserer lykke og styrke. Høyde 25cm. Naturlig treverk med håndmalt dekor. Autentisk thai håndverk.,449,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,Thailand,40
